Ensemble_ID,Intensity,Intensity_Rank,Density,Density_Rank,Energy,Energy_Rank,Exp_Level,Exp_Rank,Avg_Count,Count_Rank,Avg_TPM,TPM_Rank
ENSMUSG00000056076,129.438961044754,11613.0,0.00750794,7162.0,0.971823,7189.0,5726.406079274383,9981.0,0.9705062576595,9586.0,0.24292687671819374,8173.0
ENSMUSG00000037266,156.2764922623434,1260.0,0.0878295,621.0,13.7257,598.0,8702.86816952289,1679.0,7.95529,5563.0,1.28356625,4599.0
ENSMUSG00000040659,141.8389760338562,4547.0,0.0421779,2243.0,5.98246,2219.0,9409.61869957551,1066.0,5688.875,46.0,254.40418749999995,131.0
ENSMUSG00000026127,127.47329202567191,12589.0,0.010322,6267.0,1.31578,6349.0,6714.608419127751,6274.0,0.0,15356.0,0.0,15356.0
ENSMUSG00000061286,161.89746102193146,754.0,0.0496361,1861.0,8.03598,1600.0,10682.43296228982,415.0,0.748864,10034.0,0.1295945625,9539.0
ENSMUSG00000029672,119.66626368032578,15234.0,0.00485868,8486.0,0.581418,8737.0,3018.3556105750768,16289.0,0.0,15356.0,0.0,15356.0
ENSMUSG00000024735,144.72186450811753,3534.0,0.0284242,3323.0,4.1136,3184.0,8014.9463997490275,2710.0,0.17451875,12105.0,0.2153075,8446.0
ENSMUSG00000024104,130.82571512828073,10825.0,0.025399,3641.0,3.32284,3748.0,6774.487647807692,6073.0,3.9442424999999997,6858.0,1.0047934375,5059.0
ENSMUSG00000029022,137.19529253461346,6972.0,0.0477246,1946.0,6.54759,2033.0,8251.630568996958,2301.0,0.6640884375,10233.0,0.26490651875000004,7969.0
ENSMUSG00000032199,117.1012408658643,15776.0,0.0369662,2623.0,4.3288,3046.0,4066.330493283482,14390.0,0.55056125,10523.0,0.085379375,10350.0
ENSMUSG00000030870,134.83160965261206,8405.0,0.0110372,6087.0,1.48817,6005.0,7562.723207293997,3665.0,4.40774125,6649.0,0.932684375,5200.0
ENSMUSG00000030330,163.98139664581922,622.0,0.0717863,1014.0,11.7716,854.0,11944.677100752973,172.0,1.1688874999999999,9213.0,0.17766575,8884.0
ENSMUSG00000044018,121.44980101758097,14845.0,0.0119322,5844.0,1.44917,6102.0,4249.470720258105,14013.0,1393.75,311.0,71.6693625,405.0
ENSMUSG00000027774,143.71301022262938,3861.0,0.0191156,4457.0,2.74716,4249.0,8965.926791646887,1421.0,39.47750687500001,3281.0,5.313454375000001,2503.0
ENSMUSG00000104250,144.00239327319287,3778.0,0.00217017,10843.0,0.312509,10530.0,6794.951898871042,5998.0,1.1908025625,9170.0,0.21184263750000001,8481.0
ENSMUSG00000027968,143.7033546928006,3867.0,0.00166593,11552.0,0.239401,11278.0,7868.7287234734995,2967.0,9.398403124999998,5297.0,4.27110875,2787.0
ENSMUSG00000030347,122.6240120219053,14509.0,0.0267445,3494.0,3.27952,3780.0,4579.561645712933,13322.0,3.746163705,6967.0,0.8162298316250001,5484.0
ENSMUSG00000075703,132.25356711110325,9996.0,0.00810194,6958.0,1.07151,6930.0,5878.322922858691,9394.0,0.0,15356.0,0.0,15356.0
