id,section_data_set_id,structure_id,sum_pixels,sum_expressing_pixels,sum_pixel_intensity,sum_expressing_pixel_intensity,expression_density,expression_energy,voxel_energy_mean,voxel_energy_cv,entrez_id
140586964,100082823,651,1302020,43047.2,68219500,7192360,0.0330619,5.524,5.4878,0.345969,11517
144284398,100084941,651,1049070,1675.48,28763500,234421,0.00159711,0.223456,0.223456,0.487835,11517
416497163,69236777,651,1680250,109955,110235000,18132100,0.0654398,10.7913,10.9564,0.510031,11517
452716201,74988667,651,2587710,250544,124186000,35499300,0.0968209,13.7185,13.7185,0.211959,11517
410274588,68631935,651,2359390,141038,118642000,20484900,0.0597776,8.68231,8.71984,0.298058,11518
425475965,70230801,651,1398760,132514,80904400,21894900,0.0947371,15.6531,15.6531,0.31204,11519
455811142,75988239,651,1337210,11451.2,37967400,1445780,0.00856344,1.08119,1.06457,0.971653,11520
408398532,68341519,651,1067210,709.246,39209700,95811.7,0.000664581,0.0897779,0.0912196,2.47703,11522
411759722,68745384,651,1393030,6714.02,60340400,856909,0.00481974,0.615143,0.624608,1.40683,11529
455740955,75988241,651,1398760,22544.9,62485300,2923190,0.0161178,2.08985,2.08985,0.349246,11532
432897840,70928196,651,2587710,76646.3,155815000,11244400,0.0296194,4.34532,4.34532,0.346991,11534
411174917,68667655,651,1643540,2015.8,48808300,243494,0.0012265,0.148152,0.148152,1.47406,11535
451793871,74819251,651,2587610,2354.86,94760700,309348,0.000910053,0.11955,0.119549,0.759643,11535
416498403,69236783,651,1329000,4831.66,66481600,649645,0.00363555,0.488822,0.506975,0.608668,11536
439883003,71764745,651,1266290,1675.3,74203100,257524,0.001323,0.203369,0.182571,2.13857,11537
432694242,70919764,651,1293850,11909.4,60262800,1601420,0.00920457,1.23771,1.23771,0.432659,11538
187742348,75931316,651,1783420,5081.33,49743000,598821,0.00284921,0.335771,0.335771,0.461666,11539
187747712,75931188,651,2377890,4519.23,51037900,521993,0.00190052,0.219519,0.219519,0.6395,11539
187773607,75931347,651,1783240,6658.73,47490200,769657,0.00373407,0.431606,0.431647,0.749102,11539
187775252,75931353,651,1943270,3072.26,44478100,383264,0.00158097,0.197226,0.19584,0.582502,11539
187785973,75931323,651,1783420,2754.57,40308100,309182,0.00154455,0.173365,0.173365,0.707359,11539
259316734,78000746,651,1478160,1382.76,30771600,142854,0.000935462,0.0966428,0.103305,0.72823,11539
259317261,78001135,651,1345850,1467.89,30000700,219968,0.00109068,0.163442,0.132011,1.54885,11539
259343864,78001183,651,1433730,2239.71,38778500,280962,0.00156215,0.195966,0.195966,1.05875,11539
259350505,78001147,651,1503670,754.451,35442800,81732.8,0.00050174,0.0543557,0.0543557,0.752553,11539
259373327,78001243,651,1470230,424.126,37041700,47458.8,0.000288477,0.03228,0.0294512,0.908873,11539
259385501,78001207,651,1598070,2413.35,40318800,266573,0.00151017,0.166809,0.166058,0.547516,11539
259399959,78001219,651,1278020,580.47,29103500,65829.6,0.000454196,0.0515092,0.0519097,0.938292,11539
